AImages,SetA,corrans,corransB,BImages,SetB,CImages,SetC,corransC,corransD,DImages,SetD,EImages,SetE,corransE,A.thisRepN,A.thisTrialN,A.thisN,A.thisIndex,B.thisRepN,B.thisTrialN,B.thisN,B.thisIndex,C.thisRepN,C.thisTrialN,C.thisN,C.thisIndex,D.thisRepN,D.thisTrialN,D.thisN,D.thisIndex,E.thisRepN,E.thisTrialN,E.thisN,E.thisIndex,key_resp_2.keys,key_resp_2.rt,Intro_key_resp.keys,Intro_key_resp.rt,Break_key_resp.keys,Break_key_resp.rt,SET_A_Key.keys,SET_A_Key.corr,SET_A_Key.rt,Set_B_key_resp.keys,Set_B_key_resp.corr,Set_B_key_resp.rt,C_key_resp.keys,C_key_resp.corr,C_key_resp.rt,D_key_resp.keys,D_key_resp.corr,D_key_resp.rt,E_key_resp.keys,E_key_resp.corr,E_key_resp.rt,Outro_key_resp.keys,Outro_key_resp.rt,date,frameRate,expName,session,participant
,,,,,,,,,3,C:\Users\Shane\Desktop\RavenPyV5\D_9.png,D_9.png,,,,,,,,,,,,,,,,0,11,11,8,,,,,,,,,,,,,,,,,,,,4,0,0.017273297,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,,,,C:\Users\Shane\Desktop\RavenPyV5\E_12.png,E_12.png,3,,,,,,,,,,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,1,0,0.642259725,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,,,,C:\Users\Shane\Desktop\RavenPyV5\E_1.png,E_1.png,7,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,2,0,0.084872306,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,,,,C:\Users\Shane\Desktop\RavenPyV5\E_9.png,E_9.png,5,,,,,,,,,,,,,,,,,0,2,2,8,,,,,,,,,,,,,,,,,,,3,0,0.017138248,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,,,,C:\Users\Shane\Desktop\RavenPyV5\E_11.png,E_11.png,5,,,,,,,,,,,,,,,,,0,3,3,10,,,,,,,,,,,,,,,,,,,4,0,0.000550459,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,,,,C:\Users\Shane\Desktop\RavenPyV5\E_8.png,E_8.png,1,,,,,,,,,,,,,,,,,0,4,4,7,,,,,,,,,,,,,,,,,,,5,0,0.000479694,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,,,,C:\Users\Shane\Desktop\RavenPyV5\E_3.png,E_3.png,4,,,,,,,,,,,,,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,6,0,0.760046695,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,,,,C:\Users\Shane\Desktop\RavenPyV5\E_2.png,E_2.png,6,,,,,,,,,,,,,,,,,0,6,6,1,,,,,,,,,,,,,,,,,,,5,0,0.051350462,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,,,,C:\Users\Shane\Desktop\RavenPyV5\E_10.png,E_10.png,2,,,,,,,,,,,,,,,,,0,7,7,9,,,,,,,,,,,,,,,,,,,4,0,0.034268394,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,,,,C:\Users\Shane\Desktop\RavenPyV5\E_5.png,E_5.png,4,,,,,,,,,,,,,,,,,0,8,8,4,,,,,,,,,,,,,,,,,,,3,0,0.017482353,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,,,,C:\Users\Shane\Desktop\RavenPyV5\E_4.png,E_4.png,3,,,,,,,,,,,,,,,,,0,9,9,3,,,,,,,,,,,,,,,,,,,7,0,0.726702035,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,,,,C:\Users\Shane\Desktop\RavenPyV5\E_6.png,E_6.png,8,,,,,,,,,,,,,,,,,0,10,10,5,,,,,,,,,,,,,,,,,,,8,1,0.135448668,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,,,,C:\Users\Shane\Desktop\RavenPyV5\E_7.png,E_7.png,3,,,,,,,,,,,,,,,,,0,11,11,6,,,,,,,,,,,,,,,,,,,7,0,0.50657013,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.070663539,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
