AImages,SetA,corrans,corransB,BImages,SetB,CImages,SetC,corransC,corransD,DImages,SetD,EImages,SetE,corransE,A.thisRepN,A.thisTrialN,A.thisN,A.thisIndex,B.thisRepN,B.thisTrialN,B.thisN,B.thisIndex,C.thisRepN,C.thisTrialN,C.thisN,C.thisIndex,D.thisRepN,D.thisTrialN,D.thisN,D.thisIndex,E.thisRepN,E.thisTrialN,E.thisN,E.thisIndex,key_resp_2.keys,key_resp_2.rt,Intro_key_resp.keys,Intro_key_resp.rt,Break_key_resp.keys,Break_key_resp.rt,SET_A_Key.keys,SET_A_Key.corr,SET_A_Key.rt,Set_B_key_resp.keys,Set_B_key_resp.corr,Set_B_key_resp.rt,C_key_resp.keys,C_key_resp.corr,C_key_resp.rt,D_key_resp.keys,D_key_resp.corr,D_key_resp.rt,E_key_resp.keys,E_key_resp.corr,E_key_resp.rt,Outro_key_resp.keys,Outro_key_resp.rt,date,frameRate,expName,session,participant
,,,,,,,,,,,,C:\Users\Shane\Desktop\RavenPyV5\E_10.png,E_10.png,2,,,,,,,,,,,,,,,,,0,2,2,9,,,,,,,,,,,,,,,,,,,4,0,0.000486176,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,,,,,,,,,,C:\Users\Shane\Desktop\RavenPyV5\E_4.png,E_4.png,3,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,5,0,0.069658234,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,,,,,,,,,,C:\Users\Shane\Desktop\RavenPyV5\E_2.png,E_2.png,6,,,,,,,,,,,,,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,6,1,0.375701242,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,,,,,,,,,,C:\Users\Shane\Desktop\RavenPyV5\E_5.png,E_5.png,4,,,,,,,,,,,,,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,4,1,0.285889926,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,,,,,,,,,,C:\Users\Shane\Desktop\RavenPyV5\E_11.png,E_11.png,5,,,,,,,,,,,,,,,,,0,6,6,10,,,,,,,,,,,,,,,,,,,3,0,0.386968103,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,,,,,,,,,,C:\Users\Shane\Desktop\RavenPyV5\E_6.png,E_6.png,8,,,,,,,,,,,,,,,,,0,7,7,5,,,,,,,,,,,,,,,,,,,2,0,0.658707063,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,,,,,,,,,,C:\Users\Shane\Desktop\RavenPyV5\E_1.png,E_1.png,7,,,,,,,,,,,,,,,,,0,8,8,0,,,,,,,,,,,,,,,,,,,2,0,1.466098129,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,,,,,,,,,,C:\Users\Shane\Desktop\RavenPyV5\E_7.png,E_7.png,3,,,,,,,,,,,,,,,,,0,9,9,6,,,,,,,,,,,,,,,,,,,3,1,0.000597456,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,,,,,,,,,,C:\Users\Shane\Desktop\RavenPyV5\E_8.png,E_8.png,1,,,,,,,,,,,,,,,,,0,10,10,7,,,,,,,,,,,,,,,,,,,4,0,0.05079244,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,,,,,,,,,,C:\Users\Shane\Desktop\RavenPyV5\E_12.png,E_12.png,3,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,5,0,0.439604771,,,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.415159836,2017_Aug_01_1237,59.72707621,Rv4,1,NotShane
